-0.182645,0.983179
-0.488159,0.872755
-0.681568,0.731755
-0.69137,0.722501
-0.98434,0.176281
-0.98968,0.143298
-0.991421,0.130705
-0.99935,0.0360596
-0.999094,0.0425475
-0.999932,-0.0116726
-0.958776,-0.284163
-0.899859,-0.436181
-0.898197,-0.439593
-0.884443,-0.466647
-0.874885,-0.48433
-0.861008,-0.508592
-0.866511,-0.499159
-0.742544,-0.669797
-0.577805,-0.816175
-0.556778,-0.830661
-0.434967,-0.900446
-0.425001,-0.905193
-0.39134,-0.920246
-0.278816,-0.960344
-0.127518,-0.991836
0.0254542,-0.999676
0.029236,-0.999573
0.0379884,-0.999278
0.162934,-0.986637
0.517489,-0.85569
0.535853,-0.844312
0.828785,-0.559567
0.909755,-0.415145
0.994097,0.108496
0.991194,0.132421
0.988382,0.151989
0.918643,0.395088
0.864069,0.503373
0.857503,0.514478
0.81556,0.578672
0.724827,0.688931
0.717473,0.696586
0.539752,0.841824
0.490951,0.871187
0.482205,0.876058
0.34881,0.937194
0.22518,0.974317
0.105631,0.994405
0.067379,0.997727
-0.0495759,0.99877
-0.182645,0.983179
